#1
double tmy(8761,3)
3135600 288.05 163.0
3139200 289.65 269.0
3142800 291.55 409.0
3146400 293.45 646.0
3150000 294.75 755.0
3153600 295.85 811.0
3157200 296.25 807.0
3160800 297.05 791.0
3164400 297.55 692.0
3168000 297.65 555.0
3171600 297.35 393.0
3175200 296.45 197.0
3178800 295.25 49.0
3182400 293.65 2.0
3186000 292.65 0.0
3189600 291.85 0.0
3193200 291.25 0.0
3196800 291.05 0.0
3200400 289.35 0.0
3204000 288.35 0.0
3207600 287.55 0.0
3211200 287.35 0.0
3214800 286.95 4.0
3218400 288.05 87.0
3222000 290.45 239.0
3225600 293.35 408.0
3229200 295.75 543.0
3232800 297.25 626.0
3236400 298.75 774.0
3240000 299.95 827.0
3243600 301.35 787.0
3247200 302.25 766.0
3250800 302.55 677.0
3254400 302.45 542.0
3258000 302.15 382.0
3261600 301.45 216.0
3265200 300.15 69.0
3268800 298.65 2.0
3272400 297.55 0.0
3276000 296.45 0.0
3279600 295.45 0.0
3283200 294.25 0.0
3286800 292.45 0.0
3290400 291.65 0.0
3294000 290.85 0.0
3297600 289.75 0.0
3301200 289.25 4.0
3304800 290.25 83.0
3308400 292.35 233.0
3312000 294.15 398.0
3315600 296.05 552.0
3319200 297.85 682.0
3322800 299.55 768.0
3326400 300.45 822.0
3330000 302.25 701.0
3333600 301.75 553.0
3337200 300.85 619.0
3340800 301.25 493.0
3344400 301.15 344.0
3348000 300.05 200.0
3351600 298.75 63.0
3355200 298.05 1.0
3358800 296.65 0.0
3362400 294.15 0.0
3366000 293.05 0.0
3369600 292.45 0.0
3373200 291.45 0.0
3376800 290.95 0.0
3380400 290.65 0.0
3384000 290.35 0.0
3387600 290.25 3.0
3391200 290.65 53.0
3394800 292.15 211.0
3398400 293.95 387.0
3402000 295.85 542.0
3405600 297.55 671.0
3409200 298.95 763.0
3412800 300.05 810.0
3416400 300.75 803.0
3420000 301.05 750.0
3423600 301.35 652.0
3427200 301.25 520.0
3430800 300.85 358.0
3434400 299.75 202.0
3438000 297.45 61.0
3441600 295.65 1.0
3445200 293.75 0.0
3448800 292.55 0.0
3452400 291.45 0.0
3456000 290.45 0.0
3459600 289.15 0.0
3463200 288.35 0.0
3466800 287.75 0.0
3470400 287.25 0.0
3474000 286.95 3.0
3477600 287.75 82.0
3481200 289.35 236.0
3484800 291.55 406.0
3488400 293.85 565.0
3492000 295.95 696.0
3495600 297.85 788.0
3499200 299.45 832.0
3502800 300.45 825.0
3506400 301.25 770.0
3510000 301.65 670.0
3513600 301.65 534.0
3517200 301.25 375.0
3520800 300.15 207.0
3524400 298.65 61.0
3528000 297.45 1.0
3531600 296.25 0.0
3535200 295.15 0.0
3538800 294.15 0.0
3542400 293.25 0.0
3546000 291.45 0.0
3549600 290.65 0.0
3553200 289.95 0.0
3556800 289.45 0.0
3560400 289.05 2.0
3564000 290.15 78.0
3567600 292.35 231.0
3571200 294.95 399.0
3574800 297.75 558.0
3578400 300.45 690.0
3582000 302.55 783.0
3585600 303.95 829.0
3589200 304.95 825.0
3592800 305.45 770.0
3596400 305.55 669.0
3600000 305.25 532.0
3603600 304.65 368.0
3607200 303.65 199.0
3610800 302.15 57.0
3614400 300.45 0.0
3618000 299.15 0.0
3621600 298.05 0.0
3625200 296.95 0.0
3628800 296.25 0.0
3632400 294.85 0.0
3636000 294.25 0.0
3639600 293.65 0.0
3643200 293.15 0.0
3646800 292.95 2.0
3650400 293.85 73.0
3654000 295.75 221.0
3657600 298.15 387.0
3661200 300.55 546.0
3664800 302.95 676.0
3668400 305.35 767.0
3672000 306.95 813.0
3675600 307.95 811.0
3679200 308.05 759.0
3682800 308.15 659.0
3686400 308.15 522.0
3690000 307.55 362.0
3693600 306.55 196.0
3697200 304.75 54.0
3700800 303.35 0.0
3704400 302.05 0.0
3708000 300.55 0.0
3711600 299.45 0.0
3715200 298.75 0.0
3718800 295.95 0.0
3722400 294.85 0.0
3726000 294.25 0.0
3729600 293.45 0.0
3733200 293.05 2.0
3736800 293.75 61.0
3740400 295.85 198.0
3744000 298.65 346.0
3747600 301.15 425.0
3751200 303.55 513.0
3754800 305.95 637.0
3758400 307.75 691.0
3762000 308.75 684.0
3765600 308.45 407.0
3769200 308.75 425.0
3772800 308.35 416.0
3776400 305.95 157.0
3780000 305.15 100.0
3783600 303.55 27.0
3787200 302.35 0.0
3790800 301.75 0.0
3794400 301.05 0.0
3798000 300.05 0.0
3801600 298.95 0.0
3805200 294.85 0.0
3808800 294.35 0.0
3812400 294.05 0.0
3816000 293.45 0.0
3819600 293.05 1.0
3823200 293.65 63.0
3826800 295.15 199.0
3830400 297.35 368.0
3834000 299.55 527.0
3837600 301.55 654.0
3841200 303.25 742.0
3844800 304.55 787.0
3848400 304.25 699.0
3852000 305.25 717.0
3855600 305.35 633.0
3859200 304.55 477.0
3862800 303.65 308.0
3866400 302.65 176.0
3870000 301.05 45.0
3873600 300.05 0.0
3877200 298.85 0.0
3880800 296.75 0.0
3884400 295.45 0.0
3888000 294.55 0.0
3891600 293.05 0.0
3895200 292.35 0.0
3898800 291.75 0.0
3902400 291.15 0.0
3906000 290.75 1.0
3909600 291.15 63.0
3913200 292.55 205.0
3916800 294.55 367.0
3920400 297.05 521.0
3924000 299.35 650.0
3927600 301.35 741.0
3931200 302.85 787.0
3934800 303.75 780.0
3938400 304.55 728.0
3942000 304.95 635.0
3945600 304.65 504.0
3949200 303.65 349.0
3952800 302.25 184.0
3956400 300.75 46.0
3960000 299.55 0.0
3963600 298.65 0.0
3967200 297.45 0.0
3970800 296.45 0.0
3974400 295.35 0.0
3978000 294.05 0.0
3981600 293.45 0.0
3985200 292.95 0.0
3988800 292.45 0.0
3992400 291.95 1.0
3996000 292.25 63.0
3999600 293.35 208.0
4003200 295.05 373.0
4006800 296.85 528.0
4010400 298.45 653.0
4014000 299.75 741.0
4017600 300.95 789.0
4021200 300.35 706.0
4024800 301.05 710.0
4028400 301.15 611.0
4032000 301.15 489.0
4035600 300.45 335.0
4039200 299.45 176.0
4042800 297.95 42.0
4046400 296.35 0.0
4050000 295.05 0.0
4053600 294.05 0.0
4057200 293.35 0.0
4060800 292.65 0.0
4064400 291.05 0.0
4068000 290.45 0.0
4071600 289.95 0.0
4075200 289.35 0.0
4078800 288.85 1.0
4082400 289.25 61.0
4086000 290.55 208.0
4089600 292.35 374.0
4093200 294.05 530.0
4096800 295.75 659.0
4100400 297.15 751.0
4104000 298.35 797.0
4107600 298.75 790.0
4111200 299.45 738.0
4114800 299.85 639.0
4118400 299.85 503.0
4122000 299.35 342.0
4125600 298.45 176.0
4129200 296.95 40.0
4132800 295.75 0.0
4136400 294.85 0.0
4140000 294.05 0.0
4143600 293.35 0.0
4147200 292.45 0.0
4150800 290.95 0.0
4154400 290.25 0.0
4158000 289.65 0.0
4161600 289.15 0.0
4165200 288.75 0.0
4168800 289.25 58.0
4172400 290.65 202.0
4176000 292.65 367.0
4179600 294.95 525.0
4183200 297.15 657.0
4186800 298.85 748.0
4190400 300.15 792.0
4194000 301.15 785.0
4197600 301.75 729.0
4201200 302.05 629.0
4204800 301.75 493.0
4208400 300.95 333.0
4212000 300.05 167.0
4215600 298.75 32.0
4219200 297.45 0.0
4222800 296.55 0.0
4226400 295.75 0.0
4230000 294.85 0.0
4233600 294.05 0.0
4237200 293.15 0.0
4240800 292.35 0.0
4244400 291.35 0.0
4248000 290.65 0.0
4251600 289.95 0.0
4255200 290.45 52.0
4258800 292.15 190.0
